"";"cargo";"Nome";"Nome_urna";"Partido";"Coligacao";"Profissao";"idade";"sexo";"grau_inst";"estado_civil";"cor";"status_eleitoral"
"11";"VEREADOR";"WILSON RODRIGUES SOBRINHO";"WILSON";"PMDB";"PMDB / PSDB / PTB / PV";"VEREADOR";53;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"12";"VEREADOR";"CLEDINALDO PEREIRA DE LIMA";"CLEDINALDO";"PSDB";"PMDB / PSDB / PTB / PV";"OUTROS";27;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"13";"VEREADOR";"MARCELO SOARES DE MEDEIROS";"MARCELO";"PSB";"PSB / PMDB / PSD / SD";"SERVIDOR PÚBLICO FEDERAL";34;"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ELEITO POR QP"
"14";"VEREADOR";"CARLOS HENRIQUE LOPES DE MELO";"CARLOS HENRIQUE";"PSB";"PSB / PMDB / PSD / SD";"VEREADOR";57;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"15";"VEREADOR";"GILVANEIDE DE LIMA SILVA FELICIANO";"NEIDINHA DE ZÉ GALEGO";"PP";"PMDB / PSDB / PP / PR / PROS / PSL / PPS / PDT";"OUTROS";39;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"16";"VEREADOR";"GIVANILDO BARBOSA DA SILVA";"KITO";"PR";"PMDB / PSDB / PP / PR / PROS / PSL / PPS / PDT";"VEREADOR";41;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"17";"VEREADOR";"TIAGO JUSTINO TRIBUTINO";"TIAGO DO MUTIRÃO";"PSDB";"PSDB / PPS / PSDC / PC do B / PMB / PP / PTN / PSD";"PROFESSOR DE ENSINO MÉDIO";30;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ELEITO POR QP"
"18";"VEREADOR";"MARIA EUDOCIA DOS SANTOS";"MARIA DAS CABRAS";"PSDB";"PSDB / PPS / PSDC / PC do B / PMB / PP / PTN / PSD";"OUTROS";58;"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"#NULO#"
"19";"VEREADOR";"MARLUCE PEREIRA VERAS DE BRITO";"MARLUCE PROFESSORA";"DEM";"PSB / PP / DEM / PSDB / PROS";"PROFESSOR DE ENSINO MÉDIO";49;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"20";"VEREADOR";"LUIZ GUSTAVO ANDRADE MARTINS";"GUSTAVO DE MIRA";"PROS";"PSB / PP / DEM / PSDB / PROS";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";22;"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"ELEITO POR QP"
"21";"VEREADOR";"MANOEL MESSIAS LAURENTINO DOS SANTOS";"MANOELZINHO";"PMDB";"PMDB / PSB / PC do B";"AGRICULTOR";41;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"22";"VEREADOR";"JAILSA MOURA FRANCO ALVES";"JAILSA";"PC do B";"PMDB / PSB / PC do B";"AGRICULTOR";41;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"23";"VEREADOR";"HERIBERTO DE ARAUJO DANTAS";"HERI FEDERAL";"PSDB";"PMDB / PSDB / PMN / PSC";"COMERCIANTE";46;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"24";"VEREADOR";"FRANCISCO ARIMATÉIA MOURA";"ARI MOURA";"PSDB";"PMDB / PSDB / PMN / PSC";"TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)";38;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"25";"VEREADOR";"ABRAÃO CAVALCANTI DE LACERDA";"ABRAÃO CAVALCANTI";"PMDB";"PMDB / PSC";"GEÓGRAFO";52;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"26";"VEREADOR";"WILSON PAULO DE LIRA";"IRMÃO DO TÁXI";"PMDB";"PMDB / PSC";"TAXISTA";48;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"27";"VEREADOR";"NADJA DIÓGENES PALITOT Y PALITOT";"NADJA PALITOT";"PMDB";"PMDB / PSC";"ADVOGADO";58;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"28";"VEREADOR";"IRANI RIBEIRO PINTO DA FONSECA";"IRANI";"PMDB";"PMDB / PRB / PTB / PSDB / PSC / PSD";"SERVIDOR PÚBLICO MUNICIPAL";37;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"29";"VEREADOR";"JOAO DOS SANTOS LIMA";"JOAO DE ALCIDES";"PSB";"PSB / PMDB";"AGENTE DE SAÚDE E SANITARISTA";53;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"30";"VEREADOR";"LUCIANO ANTONIO ARAUJO";"LUCIANO DE BIU DE TÉU";"PSB";"PT / PSDC / PHS / PSB / PSD / PC do B / PTB";"VEREADOR";52;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"31";"VEREADOR";"MARIA DE FATIMA DE QUEIROZ CAVALCANTI";"FATIMA DO POPULAR";"PHS";"PSL / PHS";"PROFESSOR DE ENSINO FUNDAMENTAL";30;"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"32";"VEREADOR";"ALMIRA FERREIRA DA SILVA";"ALMIRA";"PRB";"PSDB / SD / PRB";"PROFESSOR DE ENSINO FUNDAMENTAL";53;"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"33";"VEREADOR";"AURIBERG DA COSTA LUIZ";"BERG CONFECÇÕES";"PSL";"PRB / PT / PTB / PSL / PR / PHS / PSDB / PSD / PT do B";"EMPRESÁRIO";28;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"34";"VEREADOR";"ADOLFO MASSA CALDEIRA";"ADOLFO DE MÚCIO";"PSD";"PRB / PT / PTB / PSL / PR / PHS / PSDB / PSD / PT do B";"MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA";32;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"35";"VEREADOR";"DENIS AVELINO DA SILVA";"PEU DE BASTO";"PSB";"PSB / PSDB / PSL";"COMERCIANTE";34;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"36";"VEREADOR";"SEILANDIA BASILIO ALVES SOUZA";"SEILA";"PSD";"PSDB / PSD / PT do B";"VEREADOR";37;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"37";"VEREADOR";"WERTON MEDEIROS CLEMENTINO";"WERTON DO XIQUE XIQUE";"DEM";"DEM / PMDB / PEN / PSDB / PSDC / PSD / PSL / PT / PT do B";"EMPRESÁRIO";34;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"38";"VEREADOR";"ARTUR ARAUJO FILHO";"DR ARTUR";"DEM";"DEM / PMDB / PEN / PSDB / PSDC / PSD / PSL / PT / PT do B";"ADVOGADO";40;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"39";"VEREADOR";"VANESSA MARIA ROCHA";"VANESSA ROCHA";"DEM";"DEM / PTB / PP / PSDB";"AGENTE ADMINISTRATIVO";25;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"40";"VEREADOR";"FRANCISCO CHARLLES DANTAS DE ARAÚJO";"CHARLLES FREIRE";"DEM";"DEM / PTB / PP / PSDB";"PROFESSOR DE ENSINO FUNDAMENTAL";26;"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ELEITO POR QP"
"41";"VEREADOR";"ISMAEL CANDIDO DE LIMA";"ISMAEL LIMA";"PSB";"PT / PSDC / PHS / PSB / PSD / PC do B / PTB";"SERVIDOR PÚBLICO MUNICIPAL";49;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"42";"VEREADOR";"RUTH CARLA DE BRITO FELISMINO RODRIGUES";"RUTH CARLA";"PSD";"PT / PSDC / PHS / PSB / PSD / PC do B / PTB";"PROFESSOR DE ENSINO FUNDAMENTAL";45;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"43";"VEREADOR";"SEBASTIÃO ALVES NETO";"BASTIÃO DE NECÃO";"PSDB";"PTB / PSDB / PT / PSD / PRP / PTC";"OUTROS";39;"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"44";"VEREADOR";"FABIANA CARLA GOMES BARBOSA";"PROFESSORA FABIANA";"PT";"PTB / PSDB / PT / PSD / PRP / PTC";"PROFESSOR DE ENSINO MÉDIO";37;"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"45";"VEREADOR";"SAMUEL RUFINO DOS SANTOS";"SAMUCA";"PPS";"PPS / PSL / PROS / PRTB / PSC";"AGRICULTOR";29;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"46";"VEREADOR";"MARIA MARQUES SIMÃO";"MARIA MARQUES";"PSOL";"PSOL";"SERVIDOR PÚBLICO MUNICIPAL";52;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"NÃO ELEITO"
"47";"VEREADOR";"JOSÉ BRITO GONÇALVES";"SEU NINO";"PSOL";"PSOL";"FEIRANTE, AMBULANTE E MASCATE";51;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"NÃO ELEITO"
"48";"VEREADOR";"ALAN DEIVID MARTINS GOMES";"ALAN DE NEUDO";"PSDB";"PSDB / PTB / DEM / PSD";"VIGILANTE";35;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"49";"VEREADOR";"JOSEFA PRAXEDES ALVES";"JOSEFA";"PSDB";"PSDB / PTB / DEM / PSD";"DONA DE CASA";41;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"50";"VEREADOR";"ANTONIO MARCIONES DE SOUSA E SILVA";"MARCIONES";"PMDB";"PP / PDT / PTB / PMDB / PHS / PSDB / PROS";"VEREADOR";47;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR MÉDIA"
"51";"VEREADOR";"DALMO OLIVEIRA DA SILVA";"DALMO OLIVEIRA";"PT";"PT";"JORNALISTA E REDATOR";49;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"52";"VEREADOR";"SONIA MARIA DE LIMA";"SONIA";"PTB";"PR / PTB / DEM";"VEREADOR";54;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"53";"VEREADOR";"GILSON SOARES RAFAEL";"GILSON";"PSDB";"PSDB";"VEREADOR";49;"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"SUPLENTE"
"54";"VEREADOR";"SEVERINO FREIRE DAS NEVES";"BIU FREIRE";"PMDB";"PMDB / PSDB / DEM / PRB / SD";"OUTROS";64;"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"PARDA";"SUPLENTE"
"55";"VEREADOR";"IVANO DE OLIVEIRA CONRADO";"ANDO";"PMDB";"PMDB / PSDB / DEM / PRB / SD";"AGRICULTOR";32;"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"PARDA";"SUPLENTE"
"56";"VEREADOR";"KENNEDY BATISTA DA COSTA";"KENINHO";"PRB";"PMDB / PSDB / DEM / PRB / SD";"VEREADOR";29;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"ELEITO POR QP"
"57";"VEREADOR";"MACIEL JOSE DA SILVA";"MACIEL";"DEM";"PMDB / PSDB / DEM / PRB / SD";"VEREADOR";33;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PRETA";"SUPLENTE"
"58";"VEREADOR";"IVANILDO JOSE DE LIMA";"IVANILDO";"PMDB";"PMDB / PSDB / DEM / PRB / SD";"AGRICULTOR";43;"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"PRETA";"#NULO#"
"59";"VEREADOR";"MOISES CIRILO ELEOTERIO DA SILVA";"MOISES";"SD";"PMDB / PSDB / DEM / PRB / SD";"AGRICULTOR";20;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"60";"VEREADOR";"GILSON JOSE DE LIMA";"GILSON";"PSB";"PMDB / PSB / PR / SD / DEM / PTN / PEN";"VEREADOR";47;"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"PARDA";"ELEITO POR QP"
"61";"VEREADOR";"GEUSA DE CASSIA RIBEIRO DORNELAS";"PROFESSORA GEUSA";"PRP";"PRP / PRTB";"PROFESSOR DE ENSINO FUNDAMENTAL";42;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR MÉDIA"
"62";"VEREADOR";"FLÁVIO ALEX FARIAS";"FLÁVIO FARIAS";"PTB";"PTB / PSC";"COMERCIANTE";48;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"63";"VEREADOR";"JOSEFA CRISTINA SIMPLICIO DE ARAÚJO";"CRISTINA";"PSC";"PTB / PSC";"AGRICULTOR";28;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"64";"VEREADOR";"MARCO AURÉLIO DE LIMA";"MARCO ENFERMEIRO";"PSD";"PSD / PSB / PT do B / PDT / PROS";"TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)";35;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"65";"VEREADOR";"JOSENILDO COSTA SILVA";"JOTA DO SINDICATO";"PT";"PP / PTB / PTN / PR / DEM / PSDC / PMN / PSB / PT / PTC";"AGRICULTOR";34;"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"66";"VEREADOR";"LUIS CARLOS DANTAS";"CARLINHOS";"PSB";"PP / PTB / PTN / PR / DEM / PSDC / PMN / PSB / PT / PTC";"VEREADOR";45;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"67";"VEREADOR";"CLAUDIO ARAÚJO DA SILVA";"ENGENHEIRO CLAUDIO";"PTB";"PTB / PROS / PT";"ENGENHEIRO";28;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"68";"VEREADOR";"GILMAR PEREIRA DE ARAÚJO";"NENEN DE DORA";"PTB";"PTB / PROS / PT";"PESCADOR";51;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"69";"VEREADOR";"ARNALDO PAULINO DOS SANTOS";"NEGUIM DE IRENE";"PT do B";"PT do B / DEM / PSB / PSD / PTB";"AGRICULTOR";41;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PRETA";"SUPLENTE"
"70";"VEREADOR";"ALEXSANDRO DE ARAUJO SOUZA";"ALEX DE ZÉ IRENO";"PT do B";"PT do B / DEM / PSB / PSD / PTB";"COMERCIANTE";43;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"71";"VEREADOR";"CÍCERO DA SILVA BENTO";"CÍCERO DO ÔNIBUS";"PT do B";"PT do B / DEM / PSB / PSD / PTB";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";44;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"72";"VEREADOR";"JOSÉ BRÁULIO DE SOUZA JÚNIOR";"DR RATO";"PSD";"PSD / PTC / PMDB / PV / PTB / PMB / PSDC / PTN / PROS / SD / PPL / PPS / PHS / PRB / PRP";"ADVOGADO";47;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"73";"VEREADOR";"PEDRO JORGE OLIVEIRA GAMA";"PEDRO JORGE";"DEM";"PSB / PP / DEM / PSDB / PROS";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";24;"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"ELEITO POR QP"
"74";"VEREADOR";"AKACIO PEREIRA DE LIMA";"KACIN DA LAGOINHA";"PROS";"PSB / PP / DEM / PSDB / PROS";"AGRICULTOR";34;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR MÉDIA"
"75";"VEREADOR";"UBIRATHAN FLORENTINO PEREIRA";"UBIRATHAN";"PHS";"PR / PT / PMDB / DEM / PHS / PSB / PEN / PROS";"AGRICULTOR";29;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"76";"VEREADOR";"ROMULO OLIVEIRA TEOTONIO";"ROMULO";"PROS";"PR / PT / PMDB / DEM / PHS / PSB / PEN / PROS";"SERVIDOR PÚBLICO MUNICIPAL";42;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"77";"VEREADOR";"JOSE CLAUDIANO DE SOUZA";"IRMAO CLAUDIANO";"PEN";"PR / PT / PMDB / DEM / PHS / PSB / PEN / PROS";"COMERCIANTE";40;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"78";"VEREADOR";"MARCIA MICHELLE LUCAS";"MARCIA MICHELLE";"PR";"PR / PT / PMDB / DEM / PHS / PSB / PEN / PROS";"AGRICULTOR";33;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PRETA";"SUPLENTE"
"79";"VEREADOR";"JOSE ROBERTO SOARES DE SOUSA";"ROBERTO SOARES";"PMDB";"PMDB / PHS / PSDB / PEN / SD";"AGRICULTOR";51;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"80";"VEREADOR";"JOSÉLIA PEREIRA DA SILVA MONTEIRO";"JOSELIA DE DEILTON MONTEIRO";"PMDB";"PMDB / PHS / PSDB / PEN / SD";"PESCADOR";40;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"81";"VEREADOR";"ARTHUR WAGNER SOARES FERREIRA CAVALCANTI";"ARTHUR WAGNER";"PMDB";"PMDB / PHS / PSDB / PEN / SD";"SERVIDOR PÚBLICO MUNICIPAL";26;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"82";"VEREADOR";"MARIA JOSENETE MELO RODRIGUES";"JOSENETE";"PSB";"PSD / PSB / PT do B / PDT / PROS";"AGRICULTOR";37;"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"83";"VEREADOR";"ALEXSANDRO VENCESLAU DE SOUZA";"BRANCO";"PSD";"PSD / PSB / PT do B / PDT / PROS";"CARPINTEIRO, MARCENEIRO E ASSEMELHADOS";34;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"84";"VEREADOR";"DANIELLY CUNHA CAMPELO VIANA LOPES DE MENDONÇA";"DANY CAMPELO";"PRP";"PRP / PRTB";"SERVIDOR PÚBLICO MUNICIPAL";37;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"85";"VEREADOR";"KIVAL PEREIRA DE MEDEIROS JUNIOR";"JUNIOR DE TOQUINHO";"PMDB";"PMDB / PSB / PTB";"COMERCIANTE";34;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"86";"VEREADOR";"FRANCISCO DAS CHAGAS DE MEDEIROS";"CHAGUINHA MEDEIROS";"PSB";"PMDB / PSB / PTB";"SERVIDOR PÚBLICO ESTADUAL";36;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"ELEITO POR QP"
"87";"VEREADOR";"WELLINGTON RICARDO DE ALCÂNTARA";"WELLINGTON RICARDO";"PDT";"PSDB / PDT / PSL / PC do B";"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES";47;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"88";"VEREADOR";"GENILSON PIRES GONZAGA";"GENILSON GONZAGA";"PSL";"PSDB / PDT / PSL / PC do B";"VEREADOR";52;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"89";"VEREADOR";"JOSE WILSON LOPES";"WILSON DO SILVESTRE";"PMDB";"PMDB / PP / PT do B / PTB";"AGRICULTOR";37;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"90";"VEREADOR";"SELMA MORENO BEZERRA";"SELMINHA MORENO";"PEN";"PDT / PSB / DEM / PEN";"PROFESSOR DE ENSINO MÉDIO";50;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"91";"VEREADOR";"MÁRCIO ALENCAR DOS SANTOS";"MARCIO ALENCAR";"PT do B";"PT do B / PPS";"OUTROS";37;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"92";"VEREADOR";"ANTONIO GALDINO DA SILVA NETO";"DIRETOR SILVA NETO";"PRB";"PRB / PSC / PRP / PC do B";"JORNALISTA E REDATOR";49;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"93";"VEREADOR";"MURILO AGRA DA SILVA";"MURILO AGRA";"PT do B";"PT do B / PPS";"OUTROS";25;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"SUPLENTE"
"94";"VEREADOR";"ALEXANDRE MEDEIROS DE LIMA";"ALEXANDRE MEDEIROS";"PT do B";"PT do B / PPS";"PORTEIRO DE EDIFÍCIO, ASCENSORISTA, GARAGISTA E ZELADOR";40;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"95";"VEREADOR";"IVANILDA SALVIANO DA SILVA";"ROGERIA";"PMDB";"PMDB / PROS";"FAXINEIRO";40;"FEMININO";"LÊ E ESCREVE";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"96";"VEREADOR";"GEILSA ROBERTO DA PAIXÃO";"GEILSA PAIXÃO";"PR";"PR / PT do B / PROS / PSDC / PPL / PPS";"AGRICULTOR";49;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"SUPLENTE"
